userid,age,occupation,gender
1,34,sales/marketing,M
2,33,college/grad student,M
3,29,scientist,M
4,30,other or not specified,M
5,26,scientist,M
6,27,college/grad student,F
7,31,sales/marketing,M
8,30,college/grad student,M
9,24,college/grad student,M
10,38,executive/managerial,M
11,29,artist,M
12,27,college/grad student,M
13,30,technician/engineer,M
14,18,self-employed,F
15,25,college/grad student,M
16,31,self-employed,F
17,30,executive/managerial,M
18,25,executive/managerial,M
19,25,college/grad student,M
20,31,other or not specified,M
21,30,scientist,M
22,27,homemaker,M
23,30,college/grad student,M
24,31,sales/marketing,M
25,33,scientist,M
26,33,other or not specified,M
27,28,academic/educator,M
28,38,other or not specified,M
29,32,scientist,M
30,27,executive/managerial,M
31,31,K-12 student,M
32,29,executive/managerial,M
33,31,executive/managerial,M
34,33,homemaker,M
35,31,sales/marketing,M
36,25,other or not specified,M
37,32,executive/managerial,M
38,34,executive/managerial,M
39,25,tradesman/craftsman,M
40,29,other or not specified,M
41,30,college/grad student,F
42,31,college/grad student,M
43,33,scientist,F
44,58,retired,M
45,32,academic/educator,F
46,30,college/grad student,M
47,26,self-employed,M
48,25,executive/managerial,M
49,29,executive/managerial,M
50,30,scientist,F
51,28,executive/managerial,M
52,38,executive/managerial,M
53,33,academic/educator,M
54,26,sales/marketing,M
55,24,executive/managerial,M
56,32,self-employed,M
57,43,executive/managerial,M
58,36,sales/marketing,M
59,90,retired,F
60,31,scientist,M
61,29,unemployed,M
62,26,college/grad student,M
63,47,retired,M
64,34,executive/managerial,M
65,26,college/grad student,M
66,25,technician/engineer,M
67,31,self-employed,M
68,34,other or not specified,M
69,18,sales/marketing,M
70,32,college/grad student,M
71,30,executive/managerial,M
72,29,executive/managerial,M
73,34,self-employed,M
74,29,other or not specified,F
75,31,executive/managerial,M
76,31,college/grad student,M
77,18,K-12 student,M
78,27,self-employed,M
79,27,college/grad student,F
80,26,college/grad student,F
81,27,executive/managerial,M
82,19,sales/marketing,M
83,27,other or not specified,M
84,29,other or not specified,M
85,33,artist,F
86,27,technician/engineer,M
87,34,executive/managerial,M
88,26,scientist,M
89,28,college/grad student,M
90,26,scientist,M
91,26,sales/marketing,M
92,34,college/grad student,F
93,31,executive/managerial,M
94,54,academic/educator,M
95,32,academic/educator,M
96,28,sales/marketing,M
97,27,artist,F
98,28,scientist,M
99,31,executive/managerial,M
100,27,college/grad student,M
101,31,college/grad student,M
102,26,self-employed,M
103,34,scientist,F
104,34,clerical/admin,F
105,29,college/grad student,M
106,31,sales/marketing,M
107,28,scientist,M
108,33,executive/managerial,M
109,31,K-12 student,F
110,31,self-employed,M
111,29,retired,F
112,26,college/grad student,F
113,33,college/grad student,F
114,33,college/grad student,F
115,34,college/grad student,M
116,27,sales/marketing,M
117,27,executive/managerial,M
118,30,executive/managerial,M
119,33,college/grad student,M
120,25,academic/educator,M
121,31,self-employed,M
122,75,academic/educator,F
123,28,other or not specified,M
124,26,sales/marketing,M
125,21,technician/engineer,M
126,31,college/grad student,M
127,33,college/grad student,M
128,34,executive/managerial,M
129,10,K-12 student,F
130,28,executive/managerial,M
131,18,college/grad student,F
132,25,sales/marketing,M
133,27,sales/marketing,M
134,28,sales/marketing,M
135,28,homemaker,M
136,31,K-12 student,M
137,20,sales/marketing,M
138,32,college/grad student,F
139,26,college/grad student,M
140,31,sales/marketing,M
141,33,college/grad student,F
142,28,executive/managerial,M
143,33,college/grad student,M
144,26,executive/managerial,M
145,28,other or not specified,F
146,32,college/grad student,M
147,20,sales/marketing,M
148,29,scientist,F
149,34,college/grad student,M
150,26,retired,M
151,28,executive/managerial,M
152,24,scientist,M
153,32,self-employed,M
154,24,college/grad student,M
155,28,other or not specified,M
156,55,artist,M
157,27,self-employed,M
158,29,homemaker,M
