userid,movieid,rating
346391,apollo+13+1995,4
222428,aimee++jaguar+1999,3
343423,the+marriage+of+maria+braun+1979,3
142642,female+trouble+1974,3
345728,they+might+be+giants+1971,5
260476,the+princess+bride+1987,4
94118,the+green+mile+1999,4
282928,the+dark+knight+2008,4
280914,beyond+the+fear+2014,4
52905,interstella+5555+the+5tory+of+the+5ecret+5tar+5ystem+2003,3
286319,tomcats+2001,2
246138,close+encounters+of+the+third+kind+1977,5
265058,spartacus+1960,4
222743,monty+python+and+the+holy+grail+1975,3
332132,missing+1982,4
330337,geronimo+an+american+legend+1993,3
265761,the+cat+returns+2002,4
23309,akira+1988,4
96194,foul+play+1978,4
140754,chicago+2002,3
337575,stonehearst+asylum+2014,3
235454,blancanieves+2012,4
40861,waterloo+bridge+1940,4
226073,snowpiercer+2013,4
190462,pussy+riot+a+punk+prayer+2013,5
242634,hook+1991,3
3973,drowning+by+numbers+1988,4
255112,sleeping+beauty+1959,4
71802,the+phantom+of+liberty+1974,4
84157,here+and+elsewhere+1976,3
270713,dumbo+1941,4
144745,monster+2003,4
34638,suspect+zero+2004,4
147180,42nd+street+1933,5
258681,whiplash+2014,4
124717,trophy+wife+2010,4
41681,willy+wonka++the+chocolate+factory+1971,5
35646,the+cove+2009,4
147818,seventh+son+2014,3
220660,executive+protection+2001,3
235163,the+quarry+1998,4
63151,winter+passing+2006,3
312245,beyond+the+minds+eye+1992,3
316364,butch+cassidy+and+the+sundance+kid+1969,4
230970,the+tin+star+1957,4
301184,sleeping+beauty+1959,4
147898,idiocracy+2006,3
344322,the+smart+set+1928,4
117815,the+rules+of+the+game+1939,4
217195,castle+in+the+sky+1986,3
168636,ambush+1999,3
209928,zuzu+angel+2006,4
347830,tell-tale+2010,3
188764,chimes+at+midnight+1965,4
160200,iron+man+3+2013,5
346490,hairspray+2007,3
173086,the+jewel+of+the+nile+1985,4
149956,whisper+of+the+heart+1995,5
78978,iron+man+2+2010,4
159772,galaxy+quest+1999,4
282553,cinderella+2015,4
71654,the+way+we+were+1973,4
232218,godzilla+vs.+mothra+1992,3
251853,leon+the+professional+1994,4
18589,the+secret+world+of+arrietty+2010,5
318781,batman+vs+dracula+2005,3
130098,the+cincinnati+kid+1965,4
69049,the+lord+of+the+rings+the+return+of+the+king+2003,4
55646,the+best+man+1997,4
57890,keys+to+tulsa+1997,2
52946,blue+is+the+warmest+color+2013,5
146932,gladiator+2000,4
24392,the+gunman+2015,4
329102,psycho+beach+party+2000,3
205817,a+grin+without+a+cat+1977,4
269055,at+the+devils+door+2014,5
243870,the+snapper+1993,4
319460,the+tomb+2009,4
299209,floating+weeds+1959,4
53658,q++a+1990,4
317491,close+encounters+of+the+third+kind+1977,4
163201,fury+2014,5
72370,eden+2012,5
106112,star+wars+1977,3
323131,nausica+of+the+valley+of+the+wind+1984,4
316235,leon+the+professional+1994,5
133612,the+white+sister+1923,3
199657,autumn+ball+2007,4
216775,the+day+the+earth+stood+still+1951,5
218185,the+hobbit+the+desolation+of+smaug+2013,5
326199,end+of+watch+2012,3
43358,revenge+of+the+nerds+1984,4
152346,big+hero+6+2014,3
309857,coraline+2009,4
305397,star+wars+1977,5
264798,se7en+1995,3
113564,ruby++quentin+2003,4
291417,curse+of+the+blair+witch+1999,3
19882,dawn+of+the+planet+of+the+apes+2014,4
165345,holes+2003,4
269929,thor+the+dark+world+2013,4
323328,the+chronicles+of+narnia+the+lion_+the+witch+and+the+wardrobe+2005,3
192334,whiplash+2014,5
230243,strange+voyage+1964,3
351614,from+russia+with+love+1963,4
18304,inception+2010,4
36354,harry+potter+and+the+deathly+hallows+part+2+2011,5
183898,the+dark+knight+2008,3
182215,passion+of+love+1981,3
64271,the+web+of+death+1976,3
109144,close+encounters+of+the+third+kind+1977,4
344414,driven+to+kill+2009,4
308661,oklahoma+1955,3
273530,blue+like+jazz+2012,4
136111,her+2013,4
130065,ice+age+2002,3
343725,bey+yaar+2014,4
89224,monsters_+inc.+2001,4
94330,varg+veum+-+bitter+flowers+2007,3
305810,salt+of+the+earth+1954,3
201565,poseidon+2006,4
95382,brother+can+you+spare+a+dime+1975,3
65937,four+adventures+of+reinette+and+mirabelle+1987,4
311699,the+guard+post+2008,4
14164,secretary+2002,4
124660,the+desert+fox+the+story+of+rommel+1951,5
9067,despicable+me+2+2013,4
270199,the+power+of+nightmares+2004,4
240892,the+cat+returns+2002,3
64317,2001+a+space+odyssey+1968,4
226496,a+spell+to+ward+off+the+darkness+2013,3
135189,the+sweet+hereafter+1997,4
91896,interstellar+2014,4
351399,pirates+of+the+caribbean+dead+mans+chest+2006,4
154746,dj+vu+2006,3
171402,call+me+madam+1953,3
207183,the+shawshank+redemption+1994,5
94909,ito+diary+of+an+urban+priest+2010,3
158684,despicable+me+2010,3
100887,rio+grande+1950,4
95778,the+eighth+day+1996,3
209331,frequently+asked+questions+about+time+travel+2009,5
180528,the+tin+drum+1979,4
350498,but+im+a+cheerleader+1999,4
344460,the+little+matchgirl+2006,4
62888,the+lion+king+1994,4
329007,the+name+of+the+rose+1986,4
263994,stray+dog+1949,4
64579,the+day+the+earth+stood+still+1951,4
8554,direct+action+2004,4
272968,tainted+1998,3
275311,fury+2014,4
111210,lady+oscar+1979,4
42718,from+russia+with+love+1963,4
240045,the+devil+thumbs+a+ride+1947,4
315855,crows+zero+2007,3
16400,the+artist+2011,5
257512,afterwards+2008,3
332935,p2+2007,3
227691,red+canyon+2008,3
43862,the+boy+in+the+striped+pyjamas+2008,5
96314,stuart+little+1999,4
137464,forbidden+games+1952,4
65420,axed+2012,4
62980,peter+pan+1953,5
274583,cheeky+2000,4
347175,all+the+presidents+men+1976,4
14483,walk+softly_+stranger+1950,5
235319,star+wars+1977,5
149257,kwaidan+1964,5
290572,the+shawshank+redemption+1994,5
38424,attack+from+space+1965,4
149865,thor+the+dark+world+2013,4
87459,the+war+on+democracy+2007,4
272226,constantine+2005,4
240158,the+challenger+2013,3
106796,music+in+the+air+1934,3
197857,iron+man+3+2013,4
345390,wreck-it+ralph+2012,4
86469,the+secret+country+the+first+australians+fight+back+1986,3
237144,blackboards+2000,4
51702,as+i+was+moving+ahead+occasionally+i+saw+brief+glimpses+of+beauty+2000,5
146849,the+ladykillers+2004,3
208413,the+secret+world+of+arrietty+2010,4
313488,robots+2005,5
203366,pom+poko+1994,4
78813,destry+rides+again+1939,4
317241,party+monster+2003,4
